low_price,per_change,ltv,ltp,prev_closing,symbol,trans_date,change_price,source,volume,high_price,open_price
370,0.27,43,374.00,375,OHL,2020-11-03 15:00:00,-1.00,stocklive,2254,376,374
172,0.57,169,174.00,175,CBL,2020-11-03 15:00:00,-1.00,stocklive,37031,175,175
1234,0.92,47,1310.00,1298,GILB,2020-11-03 15:00:00,12.00,stocklive,3632,1318,1234
802,2.28,10,814.00,833,SLBSL,2020-11-03 15:00:00,-19.00,stocklive,3632,832,830
852,0.59,14,854.00,849,NMBMF,2020-11-03 15:00:00,5.00,stocklive,5533,870,864
534,0.19,45,535.00,534,EIC,2020-11-03 15:00:00,1.00,stocklive,8255,541,534
870,9.92,91,942.00,857,SMFDB,2020-11-03 15:00:00,85.00,stocklive,27945,942,870
124,2.31,30,127.00,130,GHL,2020-11-03 15:00:00,-3.00,stocklive,3660,130,128
209,0.47,10,214.00,213,HPPL,2020-11-03 15:00:00,1.00,stocklive,11590,215,212
718,2.31,10,718.00,735,NSEWA,2020-11-03 15:00:00,-17.00,stocklive,1050,740,726
243,0.41,106,243.00,242,UFL,2020-11-03 15:00:00,1.00,stocklive,1022,244,243
870,1.39,43,877.00,865,SMB,2020-11-03 15:00:00,12.00,stocklive,851,897,870
151,1.32,10,153.00,151,GUFL,2020-11-03 15:00:00,2.00,stocklive,3045,154,154
1577,0.32,19,1586.00,1581,FOWAD,2020-11-03 15:00:00,5.00,stocklive,2627,1644,1612
9,3.14,100,9.54,9,NBF2,2020-11-03 15:00:00,0.29,stocklive,53770,10,9
709,0.14,10,719.00,718,NLG,2020-11-03 15:00:00,1.00,stocklive,6203,721,720
961,0.82,19,962.00,970,VLBS,2020-11-03 15:00:00,-8.00,stocklive,990,988,988
720,0,34,720.00,720,MSMBS,2020-11-03 15:00:00,0.00,stocklive,1176,745,725
1117,0.88,22,1120.00,1130,USLB,2020-11-03 15:00:00,-10.00,stocklive,1110,1150,1145
137,0,200,138.00,138,SFCL,2020-11-03 15:00:00,0.00,stocklive,2996,140,137
9,4.72,5000,9.54,9,LEMF,2020-11-03 15:00:00,0.43,stocklive,70000,10,9
1075,0.84,25,1075.00,1066,SRBLD83,2020-11-03 15:00:00,9.00,stocklive,50,1075,1075
193,1.03,600,196.00,194,BARUN,2020-11-03 15:00:00,2.00,stocklive,13742,200,197
18300,1.67,10,18300.00,18000,UNL,2020-11-03 15:00:00,300.00,stocklive,30,18360,18360
9,0.85,100,9.31,9,SFMF,2020-11-03 15:00:00,-0.08,stocklive,1100,9,9
6700,1.73,10,6700.00,6586,BNT,2020-11-03 15:00:00,114.00,stocklive,40,6700,6700
184,0,240,185.00,185,GMFIL,2020-11-03 15:00:00,0.00,stocklive,1715,188,188
9,5.97,800,9.76,9,NICBF,2020-11-03 15:00:00,0.55,stocklive,25200,10,9
150,0,170894,150.00,150,GBIMEP,2020-11-03 15:00:00,0.00,stocklive,250242,150,150
9,5.8,647,9.85,9,NIBLPF,2020-11-03 15:00:00,0.54,stocklive,73127,10,9
9,2.33,1577,9.65,9,NMBHF1,2020-11-03 15:00:00,0.22,stocklive,83545,10,9
10,1.42,300,10.01,10,GIMES1,2020-11-03 15:00:00,0.14,stocklive,126300,10,10
1072,2,25,1072.00,1051,SAND2085,2020-11-03 15:00:00,21.00,stocklive,50,1072,1072
195,0.51,25,197.00,198,CORBL,2020-11-03 15:00:00,-1.00,stocklive,465,197,195
2235,9.96,5,2341.00,2129,BBC,2020-11-03 15:00:00,212.00,stocklive,2446,2341,2235
10,0.91,5000,10.02,10,NIBSF1,2020-11-03 15:00:00,0.09,stocklive,139576,10,10
1053,1.94,25,1053.00,1033,SBLD2082,2020-11-03 15:00:00,20.00,stocklive,25,1053,1053
570,0,10000,570.00,570,CBBLPO,2020-11-03 15:00:00,0.00,stocklive,30000,570,570
114,0,9729,114.00,114,NCCBPO,2020-11-03 15:00:00,0.00,stocklive,9729,114,114
1071,2,25,1071.00,1050,NICD83/84,2020-11-03 15:00:00,21.00,stocklive,25,1071,1071
112,0,91366,112.00,112,CCBLPO,2020-11-03 15:00:00,0.00,stocklive,91366,112,112
