open_price,high_price,prev_closing,volume,symbol,low_price,per_change,change_price,ltv,ltp,trans_date
9,9,9,32175,NEF,9,0.32,-0.03,1448,9.22,2020-09-07 14:00:58
134,136,134,17568,SPDL,128,2.99,-4.00,616,130.00,2020-09-07 14:00:58
1130,1130,1152,457,LLBS,1128,2,-23.00,127,1129.00,2020-09-07 14:00:58
170,170,171,25080,JBBL,167,1.17,-2.00,1590,169.00,2020-09-07 14:00:58
648,648,639,35460,PLIC,621,0.47,-3.00,1000,636.00,2020-09-07 14:00:58
237,238,238,10186,SHINE,235,0.84,-2.00,105,236.00,2020-09-07 14:00:58
157,169,160,2207,NHDL,154,5.63,9.00,30,169.00,2020-09-07 14:00:58
66,70,67,3355,UNHPL,64,2.99,2.00,100,69.00,2020-09-07 14:00:58
232,232,232,11464,SRBL,228,0.86,-2.00,590,230.00,2020-09-07 14:00:58
745,764,754,4283,KMCDB,739,1.46,-11.00,10,743.00,2020-09-07 14:00:58
600,600,582,22035,GLICL,560,0.86,-5.00,10,577.00,2020-09-07 14:00:58
230,232,233,37681,PRVU,227,1.29,-3.00,200,230.00,2020-09-07 14:00:58
535,541,540,27485,GBLBS,523,0.74,-4.00,105,536.00,2020-09-07 14:00:58
102,108,101,2786,CHL,102,5.94,6.00,13,107.00,2020-09-07 14:00:58
1325,1349,1333,4602,SKBBL,1320,0.45,6.00,36,1339.00,2020-09-07 14:00:58
1570,1584,1585,889,FOWAD,1570,0.63,-10.00,19,1575.00,2020-09-07 14:00:58
235,236,236,22991,BOKL,231,1.69,-4.00,10,232.00,2020-09-07 14:00:58
315,332,325,14687,MNBBL,315,0.62,-2.00,1522,323.00,2020-09-07 14:00:58
10,10,10,74575,SAEF,10,1.8,0.18,2000,10.18,2020-09-07 14:00:58
167,167,170,6498,HPPL,158,5.88,-10.00,10,160.00,2020-09-07 14:00:58
2940,3111,2995,1464,STC,2936,3.17,95.00,10,3090.00,2020-09-07 14:00:58
72,72,73,920,GHL,68,6.85,-5.00,30,68.00,2020-09-07 14:00:58
1545,1545,1530,253,NMFBS,1535,0.65,10.00,26,1540.00,2020-09-07 14:00:58
343,345,343,5326,OHL,341,0.58,2.00,700,345.00,2020-09-07 14:00:58
