low_price,high_price,change_price,per_change,open_price,prev_closing,ltp,symbol,volume,ltv
699,712,-5.00,0.7,710,710,705.00,CLBSL,225,11
9,9,0.19,2.11,9,9,9.19,SEF,55800,500
98,104,-3.00,2.91,104,103,100.00,JOSHI,6025,140
120,130,3.00,2.44,124,123,126.00,MPFL,39687,500
575,584,5.00,0.86,580,579,584.00,FMDBL,22114,10
813,823,1.00,0.12,817,818,819.00,NIL,45264,100
738,758,-7.00,0.94,750,747,740.00,MLBBL,1888,200
726,735,0.00,0,726,732,732.00,EBL,12493,10
401,412,-5.00,1.23,407,406,401.00,BPCL,19179,88
362,367,1.00,0.27,367,364,365.00,NIBPO,30315,1000
3396,3567,-55.00,1.53,3557,3600,3545.00,STC,660,18
126,138,2.00,1.47,134,136,138.00,MHNL,14860,10
785,800,-9.00,1.12,785,801,792.00,SLBSL,525,76
129,140,3.00,2.21,135,136,139.00,CHL,43758,329
1540,1565,-8.00,0.51,1565,1564,1556.00,FOWAD,955,90
304,311,0.00,0,308,309,309.00,EDBL,7077,50
1470,1500,-5.00,0.34,1500,1485,1480.00,LICN,3884,100
735,740,-8.00,1.08,737,744,736.00,KMCDB,3311,50
134,145,2.00,1.5,139,133,135.00,BFC,53267,50
17800,18200,-124.00,0.69,18100,18025,17901.00,UNL,236,10
854,872,-1.00,0.12,855,855,854.00,SLBBL,3023,35
96,106,-3.00,2.88,106,104,101.00,GHL,6953,100
1070,1076,-18.00,1.65,1071,1088,1070.00,NLBSL,1443,27
746,759,1.00,0.13,756,746,747.00,GLBSL,553,10
164,170,-1.00,0.6,164,167,166.00,PFL,15286,10
866,875,-3.00,0.34,875,873,870.00,DDBL,4331,36
186,194,-3.00,1.58,189,190,187.00,SHL,24910,150
135,138,1.00,0.74,137,135,136.00,SINDU,7376,260
10,11,-0.36,3.36,11,11,10.35,SAEF,32900,200
9,10,-0.24,2.51,9,10,9.34,NICGF,42350,100
361,368,-2.00,0.55,364,364,362.00,MDB,5439,15
1268,1271,-3.00,0.24,1271,1271,1268.00,SWBBL,1684,18
9,9,0.01,0.11,9,9,8.82,NEF,20582,489
836,842,-3.00,0.36,841,841,838.00,NMBMF,4505,75
807,821,6.00,0.74,810,815,821.00,GMFBS,399,10
161,166,4.00,2.53,161,158,162.00,CORBL,13922,70
832,884,43.00,5.11,840,841,884.00,SMB,387,10
237,268,9.00,3.61,245,249,258.00,UFL,142400,100
9,9,0.06,0.65,9,9,9.35,NIBSF1,51000,1000
700,710,6.00,0.85,710,703,709.00,NTC,5625,20
147,155,2.00,1.36,149,147,149.00,SAPDBL,15532,227
9,9,-0.08,0.89,9,9,8.92,NICBF,1950,500
9,9,0.01,0.11,9,9,8.85,NBF2,4800,600
228,239,21.00,9.63,228,218,239.00,NFS,4031,100
791,796,-11.00,1.37,791,802,791.00,GGBSL,270,10
8,9,0.00,0,8,9,8.60,LEMF,27537,2500
9,9,0.01,0.11,9,9,9.11,GIMES1,35650,150
915,925,-9.00,0.97,915,924,915.00,VLBS,1588,30
10,10,-0.03,0.3,10,10,9.97,NMBHF1,32122,664
1610,1615,-2.00,0.12,1612,1612,1610.00,BBC,97,40
111,111,0.00,0,111,111,111.00,JBBLPO,22109,22109
9,9,0.00,0,9,9,9.25,NMB50,2450,250
9,9,-0.17,1.81,9,9,9.23,SFMF,2700,2200
1000,1005,-12.00,1.19,1000,1012,1000.00,SAND2085,300,50
1026,1026,-9.00,0.87,1026,1035,1026.00,SBLD2082,35,35
1050,1050,0.00,0,1050,1050,1050.00,KBLD86,100,50
1015,1015,0.00,0,1015,1015,1015.00,SBIBD86,25,25
